1,Bryon,-3.7358924,40.378739,4,Madrid,Madrid
2,Lona,-8.5638609,42.8518656,3,Santiago De Compostela,Galicia
3,Adriaens,-8.5995773,42.4385891,1,Pontevedra,Galicia
4,Felicio,-3.7358924,40.378739,1,Madrid,Madrid
5,Rosabelle,-1.1424989,37.970285,1,Murcia,Murcia
6,Katine,-3.6952896,40.4563733,1,Madrid,Madrid
7,Gerhard,2.0776887,41.4904044,1,Sant Cugat Del Valles,Cataluna
8,Jacobo,-5.664252,43.5162166,1,Gijon,Asturias
9,Kane,-3.8057968,43.4598651,2,Santander,Cantabria
10,Pansy,-8.6463086,42.4423768,1,Pontevedra,Galicia
